zakaznik_id;datum_nakupu;castka
CZ1171;2024-03-30;1753,84
CZ1276;2023-12-19;1967,87
CZ1432;2023-05-12;2336,14
CZ1267;2023-09-28;1522,46
CZ1316;2023-12-25;1790,05
CZ1411;2024-05-13;2108,08
CZ1416;2023-11-21;-88,96
CZ1425;2024-09-10;1252,6
CZ1386;2023-09-15;379,92
CZ1297;2024-09-08;1002,99
CZ1280;2024-07-09;3147,55
CZ1350;2024-06-13;2799,37
CZ1308;2023-12-23;1773,04
CZ1380;2023-09-22;467,66
CZ1199;2023-09-01;1312,51
CZ1277;2024-07-28;1012,29
CZ1036;2024-06-28;1969,72
CZ1378;2024-02-20;822,84
CZ1056;2024-01-09;-472,27
CZ1108;2023-10-21;730,48
CZ1069;2024-03-02;1577,54
CZ1240;2023-12-02;566,51
CZ1259;2024-07-25;1314,88
CZ1005;2024-06-04;786,28
CZ1287;2023-06-08;1344,23
CZ1148;2023-11-05;403,26
1367;2023-03-24;798,01
CZ1350;2023-11-11;609,03
CZ1415;2024-03-29;3139,07
CZ1408;2024-04-23;2507,39
CZ1295;2023-09-04;1416,45
CZ1147;2023-07-08;3403,99
CZ1435;2023-11-17;2113,45
CZ1064;2024-02-24;1719,32
CZ1202;2023-07-21;1024,5
CZ1170;2023-05-27;1497,02
CZ1493;2023-11-02;1635,07
CZ1465;2023-08-07;2111
CZ1458;2024-05-08;1995,54
CZ1122;2023-01-26;996,65
CZ1324;2023-06-30;401,7
CZ1301;2023-09-24;608,21
CZ1385;2023-02-22;1983,47
CZ1302;2024-01-16;918,38
 CZ1042;2023-08-06;705,61
CZ1240;2024-01-17;959,39
CZ1353;2023-12-18;2583,78
CZ1197;2023-10-30;1090,19
CZ1041;2024-08-25;919,81
CZ1129;2023-03-11;3355,12
CZ1137;2023-05-13;2543,9
CZ1266;2023-07-26;2906,47
CZ1019;2024-01-07;2764,81
CZ1459;2024-09-11;1448,73
CZ1035;2023-12-20;310,58
CZ1287;2024-05-01;1674,7
CZ1049;2023-09-19;1354,19
CZ1481;2024-04-11;2500,01
CZ1473;2024-06-20;2254,59
CZ1430;2024-07-13;1125,82
CZ1484;2024-05-17;2410,75
CZ1101;2023-03-21;689,24
CZ1040;2023-06-03;3374,64
CZ1009;2024-08-21;813,6
CZ1210;2023-07-25;2063,67
CZ1213;2023-05-14;1662,61
CZ1242;2024-08-16;3270,63
CZ1016;2024-05-02;717,97
CZ1420;2023-03-31;773,57
CZ1313;2024-01-08;1596,61
CZ1398;2024-08-29;1402,09
CZ1340;2024-02-09;666,16
CZ1059;2023-07-22;404,87
CZ1366;2024-08-11;2176,06
CZ1211;2024-07-08;1631,24
CZ1458;2023-04-16;2391,02
CZ1065;2024-02-27;1492,97
CZ1060;2023-10-22;3156,87
CZ1400;2024-05-02;-222,38
CZ1015;2023-02-26;1716,51
CZ1091;2024-01-20;790,01
CZ1378;2023-07-09;3033,68
CZ1493;2024-09-30;3136,06
CZ1262;2024-08-05;2636,05
CZ1259;2024-04-03;3202,26
CZ1029;2024-04-23;1608,86
CZ1413;2023-12-22;1060,56
CZ1052;2023-12-06;1034,86
CZ1452;2023-08-04;2921,78
CZ1223;2024-09-22;2315,5
CZ1154;2023-11-07;2080,67
CZ1480;2024-04-25;1144,07
CZ1248;2023-09-16;1714,21
CZ1015;2023-05-31;1431,19
CZ1238;2023-05-03;2688,08
CZ1300;2024-03-26;1260,68
CZ1292;2023-12-31;1376,04
CZ1050;2024-09-11;2164,42
CZ1081;2023-06-21;2450,21
CZ1027;2023-09-13;1701
CZ1057;2024-07-26;1430,78
CZ1294;2024-02-12;2028,48
CZ1207;2024-05-11;856,2
CZ1140;2024-01-29;3385,7
CZ1166;2024-02-05;1390,61
CZ1197;2023-05-21;1431,6
CZ1287;2023-04-03;2159
CZ1187;2024-09-09;2373,66
CZ1254;2024-05-05;932,35
CZ1385;2024-03-10;442,03
CZ1234;2024-03-20;1917,17
CZ1189;2023-12-26;1384,09
CZ1219;2024-05-04;2836,3
CZ1085;2023-06-04;1157,32
CZ1384;2023-02-01;1905,12
CZ1311;2023-07-16;1473,4
CZ1276;2023-04-10;2265,61
CZ1421;2024-06-23;1203,54
CZ1231;2024-06-09;2237,26
CZ1498;2024-09-21;2121,66
CZ1403;2024-03-29;3002,05
CZ1365;2024-07-06;2863,86
CZ1105;2024-05-16;2403,57
CZ1152;2023-07-25;3358,6
CZ1081;2024-04-04;3233,65
CZ1397;2023-11-04;2199,83
CZ1320;2023-08-13;299,4
CZ1357;2024-01-30;1706,77
CZ1135;2024-03-02;1548,41
CZ1417;2024-02-02;1984,92
CZ1480;2024-07-21;2409,72
CZ1264;2024-05-01;1812,39
CZ1230;2024-05-03;1544,21
CZ1014;2024-06-06;3178,9
CZ1480;2023-06-02;939,98
CZ1144;2024-03-11;1765,11
CZ1287;2023-08-10;880,22
CZ1317;2023-11-25;2726,65
CZ1423;2024-06-11;766,15
CZ1185;2023-08-05;2768,22
CZ1217;2024-07-26;1711,14
CZ1416;2023-11-21;304,42
CZ1142;2023-12-07;2095,87
CZ1288;2023-06-26;2168,7
CZ1431;2023-02-06;1806,18
CZ1370;2024-03-24;1623,69
CZ1461;2024-07-07;2574,5
CZ1342;2023-01-06;1028,11
CZ1419;2024-02-28;2911,38
;2023-08-29;453,1
CZ1336;2023-08-21;2559,84
CZ1230;2024-07-10;2095,79
CZ1354;2024-07-03;3309,31
CZ1191;2024-08-15;529,6
CZ1075;2023-08-24;1908,53
CZ1302;2023-02-21;1669,08
CZ1246;2023-05-20;752,58
CZ1237;2024-01-31;2357,31
CZ1306;2024-07-10;2241,09
CZ1069;2023-11-07;2588,96
CZ1335;2024-06-26;2333,58
CZ1279;2024-08-26;2513,37
CZ1002;2023-03-30;1524,82
CZ1165;2024-01-21;585,38
CZ1446;2024-03-29;427,62
CZ1131;2024-04-18;3204,8
CZ1316;2023-04-18;742,91
CZ1027;2023-11-23;3123,07
CZ1202;2024-09-08;1199,43
CZ1004;2023-12-11;2835,36
CZ1476;2023-04-29;1176,27
CZ1339;2023-11-07;384,59
CZ1115;2023-09-17;1769,23
CZ1099;2023-09-06;2427,5
CZ1246;2023-12-27;2520,97
CZ1162;2024-01-14;2074,17
CZ1343;2023-09-02;2234,5
CZ1246;2024-02-11;1841,12
CZ1154;2023-12-22;2546,55
CZ1441;2024-07-23;3441,72
CZ1248;2023-08-07;2468,52
CZ1144;2023-01-16;2357,33
CZ1223;2024-06-05;1454,98
CZ1264;2024-07-26;1744,87
CZ1436;2024-05-14;2820,67
CZ1142;2023-05-10;2833,37
CZ1185;2023-02-12;3294,17
CZ1381;2024-03-13;3146,81
CZ1096;2023-12-25;1173,47
CZ1059;2023-09-01;1431,51
CZ1389;2023-12-22;2045,77
CZ1082;2024-05-06;1564,38
CZ1469;2023-02-10;1588,89
CZ1191;2024-01-22;579,95
CZ1208;2023-07-20;1325,06
CZ1321;2023-03-10;466,1
CZ1237;2023-09-23;0
CZ1128;2023-12-19;1694,57
CZ1109;15.03.2023;321,82
CZ1282;2024-04-03;3141,59
CZ1198;2023-09-02;1109,65
CZ1283;2024-01-28;861,77
CZ1437;2023-06-03;1241,24
CZ1085;2023-01-31;1696,62
CZ1039;2024-09-12;939,91
CZ1273;2023-06-18;750,97
CZ1135;2023-10-16;3239,99
CZ1281;2023-06-24;514,51
CZ1323;2024-03-26;1672,19
CZ1214;2023-03-21;3339,67
CZ1327;2023-10-12;685,56
CZ1278;2023-05-20;1455,16
CZ1403;2024-07-14;2662,26
CZ1272;2024-01-24;3001,68
CZ1356;2024-03-09;1729,13
CZ1088;2023-11-09;932,96
CZ1147;2024-05-14;1763,45
CZ1456;2023-06-14;3052,63
CZ1222;2023-07-10;3109,34
CZ1029;2024-04-06;1677,95
CZ1181;2023-03-03;2753,39
CZ1443;2024-09-03;2026,28
CZ1120;2023-04-01;1254,9
CZ1478;2023-10-15;858,88
CZ1089;2023-04-08;2970,43
CZ1032;2024-03-26;1376,91
CZ1397;2023-12-06;799,98
CZ1396;2024-06-19;2017,37
CZ1407;2023-12-29;920,86
CZ1435;2023-06-02;3068,44
CZ1040;2024-02-27;2303,48
CZ1358;2024-07-02;534,66
CZ1316;2023-06-20;1576,3
CZ1122;2023-09-20;1370,29
CZ1005;2024-01-18;3055,78
CZ1403;2023-08-07;1015,37
CZ1181;2023-04-05;887,49
CZ1188;2023-12-13;3438,01
CZ1064;2023-04-10;3466,62
CZ1065;2024-05-09;1567,88
CZ1429;2023-10-27;1768
CZ1220;2024-02-16;700,15
CZ1205;2024-01-07;537,45
CZ1220;2024-04-14;521,68
CZ1164;2024-02-11;2773,07
CZ1462;2023-05-21;2078,58
CZ1245;2024-08-26;2642,45
CZ1187;2024-01-15;1801,49
CZ1337;2023-07-24;931,91
CZ1374;2024-02-18;-365,22
CZ1118;2023-05-29;1379,83
CZ1040;2023-04-18;540,83
CZ1324;2023-08-13;420,62
CZ1026;2024-09-05;2605,32
CZ1158;2024-02-15;1147,45
CZ1015;2024-01-01;1592,02
CZ1295;2023-09-08;1586,74
CZ1385;2023-06-07;564,7
CZ1026;2024-01-08;2743,78
CZ1168;2023-08-09;1136,82
CZ1390;2023-01-11;1020,66
CZ1138;2024-07-01;1089,22
CZ1456;2023-03-24;1611,76
CZ1316;2024-01-19;1811,51
CZ1081;2024-04-24;546,2
CZ1431;2023-11-30;2201,29
CZ1020;2024-01-06;530,65
CZ1064;2024-03-13;3096,43
CZ1114;2024-05-28;1732,21
CZ1083;2024-07-28;1100,59
CZ1348;2024-05-11;2354,48
CZ1149;2023-09-13;3014,06
CZ1192;2023-09-15;3045,28
CZ1169;2024-07-08;2292,52
CZ1494;2023-11-15;2361,16
CZ1220;2024-03-25;1052,61
CZ1350;2023-06-04;2978,68
CZ1484;2024-03-27;1817,24
CZ1121;2023-07-14;655,99
CZ1226;2023-08-16;2196,82
CZ1194;2024-01-22;2651,56
CZ1472;2024-08-08;429,32
CZ1141;2023-01-31;1030,11
CZ1082;2023-09-04;2497,71
CZ1400;2024-05-02;2878,44
CZ1203;2023-02-08;3097,76
CZ1401;2024-05-21;1633,3
CZ1109;2023-12-29;1159,74
CZ1211;2024-01-15;695,16
CZ1318;2024-05-09;3047,07
CZ1372;2024-04-24;406,42
CZ1204;2023-02-09;3464,38
CZ1169;2024-09-23;1185,43
CZ1006;2023-07-03;1383,18
CZ1378;2023-05-15;3338,04
CZ1126;2024-09-10;864,26
CZ1188;2023-09-19;587,58
CZ1125;2024-06-19;2597,74
CZ1251;2024-02-02;2374,85
CZ1235;2024-08-21;2673,18
CZ1177;2024-07-14;2030,18
CZ1494;2023-01-24;2782,9
CZ1089;2023-01-28;750,64
CZ1079;2024-07-10;944,36
CZ1031;2024-09-10;2278,72
CZ1387;2023-03-27;2933,74
CZ1095;2024-08-23;2755,56
CZ1078;2024-05-13;2132,22
CZ1066;2023-11-04;723,79
CZ1010;2024-03-28;3444,24
CZ1414;2024-06-25;3081,78
CZ1069;2023-06-14;856,29
CZ1268;2024-08-03;1292,66
CZ1376;2024-06-11;2158,66
CZ1414;2023-08-05;1617,2
CZ1027;2023-07-03;
CZ1343;2024-06-03;3256,72
CZ1196;2023-10-21;762,89
CZ1393;2023-05-04;1414,66
CZ1309;2023-08-29;765,01
CZ1247;2023-12-26;1946,47
CZ1156;2023-01-19;3056,07
CZ1209;2024-01-05;2339,91
CZ1259;2023-06-11;388,32
CZ1463;2024-02-02;1014,15
CZ1155;2023-08-26;2456,87
1227;2023-11-01;939,88
CZ1381;2023-11-18;2079,53
CZ1275;2023-03-21;471,52
CZ1200;2024-01-29;3487,4
CZ1230;2024-01-23;2288,83
CZ1192;2023-04-25;3057,61
CZ1325;2024-08-10;998,69
CZ1470;2024-03-13;3391,4
CZ1405;2024-05-29;1931,74
CZ1272;2024-06-19;2755,67
CZ1122;2023-07-03;1833,47
CZ1001;2024-02-18;2217,21
CZ1183;2023-12-12;354,65
CZ1452;2023-07-27;2873,07
CZ1207;2024-06-08;874,03
CZ1405;2023-08-25;1044,62
CZ1429;2023-06-14;629,45
CZ1367;2023-11-20;3448,46
CZ1344;2024-06-21;965,53
CZ1476;2023-01-08;538,84
CZ1055;2024-05-11;1180,57
CZ1009;2023-07-22;3424,48
CZ1470;2024-01-09;2255,18
CZ1461;2024-09-13;812,24
CZ1212;2024-08-05;883,67
CZ1049;2023-06-23;2000,32
CZ1151;2023-06-03;401,1
CZ1070;2024-02-21;977,92
CZ1345;2024-03-14;959,18
CZ1242;2023-11-02;565,92
CZ1350;2024-06-20;1208,59
CZ1258;2024-08-24;2820,31
CZ1380;2024-06-29;2747,99
CZ1006;2024-08-02;1990,89
CZ1277;2023-11-05;3189,98
CZ1361;2023-12-18;1955,21
CZ1370;2023-11-14;2282,17
CZ1025;2024-09-30;1035,67
CZ1170;2023-09-03;3355,21
CZ1270;2023-05-12;299,11
CZ1067;2024-01-04;2423,77
CZ1131;2023-12-15;934,72
CZ1008;2024-07-01;1958,7
CZ1339;22.07.2023;343,2
CZ1259;2024-05-04;1939,85
CZ1018;2023-05-08;758,72
CZ1473;2024-05-27;2124,13
CZ1061;2024-03-22;873,64
CZ1404;2024-03-27;703,32
CZ1406;2024-05-28;3358,46
CZ1088;2024-01-06;3318,36
CZ1193;2023-02-25;2069,6
CZ1364;2024-04-26;909,74
CZ1480;2023-10-30;1267,66
CZ1468;2024-08-10;1582,52
CZ1049;2024-03-31;529,86
CZ1370;2024-07-05;1551,48
CZ1452;2023-05-20;763,32
CZ1111;2023-08-16;1101,6
CZ1328;2023-06-24;1728,83
CZ1006;2023-09-15;1799,92
CZ1143;2024-03-12;3425,91
CZ1150;2024-05-25;1208,55
CZ1106;2023-08-12;2347,53
CZ1370;2024-07-23;2497,99
CZ1030;2024-09-17;1511,67
CZ1109;2024-02-22;2704,62
CZ1180;2023-09-17;2555,84
CZ1037;2023-11-03;1143,5
CZ1238;2023-09-27;2110,9
CZ1025;2024-01-17;1574,46
CZ1019;2023-11-11;3116,38
CZ1347;2023-07-07;3330,31
CZ1369;2024-03-15;1146,96
CZ1270;2024-05-28;723,77
CZ1324;2023-03-03;301,53
CZ1184;2024-04-07;2160,51
CZ1397;2023-12-31;2384,06
CZ1409;2023-10-28;642,34
CZ1326;2023-08-20;2417,13
CZ1438;2024-06-20;1237,89
CZ1463;2023-09-16;2865,12
CZ1472;2024-04-13;869,08
CZ1136;2023-10-26;1604,04
CZ1135;2023-07-28;1424,57
CZ1049;2024-03-14;1973,16
CZ1274;2023-07-18;773,29
CZ1281;2023-05-05;815,96
CZ1427;2024-06-24;3210,97
CZ1458;2023-07-04;2530,03
CZ1407;2023-09-20;2578,5
CZ1141;2024-01-29;511,14
CZ1259;2023-12-06;1781,17
CZ1079;2023-08-02;620,46
CZ1360;2024-09-18;2360,14
CZ1311;2023-06-03;2945,98
CZ1346;2024-02-22;991,03
CZ1407;2024-07-20;1513,7
CZ1119;2023-05-03;923,33
CZ1368;2024-01-30;379,5
CZ1300;2024-09-28;1444,95
CZ1456;2023-04-19;2499,87
CZ1273;2024-04-22;1425,93
CZ1464;2023-08-13;1769,76
CZ1058;2024-07-01;2468,2
CZ1261;2024-01-21;917,25
CZ1331;2024-03-13;1552,53
CZ1472;2023-07-26;2480,31
CZ1190;2024-09-06;2948,2
CZ1134;2024-01-24;2351,89
CZ1377;2023-11-03;2035,1
CZ1046;2023-09-14;1781,12
CZ1242;2024-01-06;2949,38
CZ1216;2024-09-23;2245,44
CZ1462;2024-05-24;3286,22
CZ1022;2023-12-12;1576,12
1243;2023-12-17;855,73
CZ1085;2024-02-08;1114,73
CZ1235;2024-09-21;2258,63
CZ1105;2024-04-03;355,69
CZ1143;2023-12-10;2781,49
CZ1037;2023-06-21;2877,53
CZ1332;2023-11-30;1265,84
CZ1104;2023-01-21;566,57
CZ1347;30.08.2024;819,58
CZ1115;2024-07-04;711
CZ1019;2023-06-28;1610,6
CZ1309;2024-05-25;3054,68
CZ1382;2024-09-16;2190,55
CZ1238;2024-05-28;1209,21
CZ1059;2024-02-25;2368,16
CZ1339;2024-03-04;2014,38
CZ1324;2023-05-10;454,63
CZ1145;2023-01-04;441,94
CZ1136;2023-08-12;730,64
CZ1120;2023-07-28;2942,87
CZ1033;2024-08-10;1244,28
CZ1221;2024-09-29;1201,53
CZ1286;2024-06-14;1272,84
CZ1141;2024-01-29;511,14
CZ1131;2023-04-13;1244,87
CZ1278;2024-03-05;1127,64
CZ1228;2023-06-27;2290,81
CZ1461;2024-01-07;2920,38
CZ1163;2024-04-23;675,69
CZ1011;2023-06-30;373,57
CZ1111;2025-06-30;834,09
CZ1299;2024-07-26;2422,76
CZ1130;2024-01-07;1351,49
CZ1151;2024-01-09;2015,07
CZ1410;2024-07-19;1976,84
CZ1021;2023-10-22;2963,17
CZ1185;2023-10-04;3224,17
CZ1189;2023-01-29;2576,55
CZ1181;2023-04-21;915,02
CZ1096;2023-09-27;1402,59
CZ1351;2023-09-05;3273,23
CZ1026;2023-08-20;1293,1
CZ1491;2024-07-03;1920,24
CZ1233;2024-06-08;633,81
CZ1269;2024-05-26;3273,74
CZ1071;2023-09-24;2113,98
CZ1457;2024-07-13;1571,81
CZ1409;2023-04-30;2082,08
CZ1304;2024-05-29;1773,24
CZ1162;2023-05-25;453,41
CZ1488;2023-07-17;2052,04
CZ1078;2023-04-04;810,61
CZ1453;2024-08-20;1496,48
CZ1169;2024-03-14;2360,02
CZ1013;2023-03-30;2274,65
CZ1376;2023-09-26;3496,09
CZ1320;2024-02-06;674,33
CZ1028;2024-03-07;1118,88
CZ1321;2024-02-08;1345,7
CZ1178;2023-01-01;2182,97
CZ1143;2023-05-13;3265,38
CZ1205;2023-12-11;577,65
CZ1339;2024-09-17;2465,75
CZ1352;2023-11-13;1767,98
CZ1095;2024-01-14;2085,72
CZ1463;2024-01-03;3169,9
CZ1328;2023-05-22;2235,77
CZ1426;2024-04-30;2601,32
CZ1310;2024-06-03;3492,82
CZ1135;2023-09-28;1136,55
CZ1060;2024-08-02;814,55
CZ1206;2023-03-22;3051,98
CZ1435;2024-07-25;3209,62
CZ1403;2023-09-30;1867,33
CZ1284;2024-09-10;2910,64
CZ1271;2024-06-09;1967,49
CZ1085;2023-03-27;2420,73
CZ1066;2023-12-09;3118,06
CZ1399;2024-09-08;2362,84
CZ1415;2024-08-01;2257,38
CZ1109;2023-10-21;2557,12
CZ1238;2024-03-16;966,97
CZ1392;2024-06-02;383,43
CZ1373;2024-08-03;3047,53
CZ1033;2023-07-22;2433,6
CZ1190;2024-03-17;1547,36
CZ1094;2024-03-20;1693,71
CZ1311;2023-08-25;
CZ1370;2025-02-10;690,57
CZ1336;2023-08-20;525,02
CZ1133;2024-05-01;3075,07
CZ1359;2024-09-05;2544,87
CZ1098;2023-10-01;626,9
CZ1449;2023-03-17;3432,8
CZ1351;2023-10-16;2059,48
CZ1278;2024-01-25;527,54
CZ1019;2023-09-26;3044,17
CZ1053;2023-10-27;1704,06
CZ1067;2023-04-21;
CZ1086;2024-08-14;926,97
CZ1080;2023-09-12;2495,8
CZ1073;2023-07-26;3349,77
CZ1066;2024-01-10;427,94
CZ1050;2024-08-06;1180,13
CZ1479;2024-06-19;1717,59
CZ1354;2024-09-06;3001,13
CZ1274;2023-02-11;0
CZ1101;2024-05-10;1325,88
CZ1306;2024-08-26;641,73
CZ1448;2024-08-18;2220,71
CZ1420;2024-01-21;2738,93
CZ1043;2023-12-03;717,12
CZ1200;2024-06-26;985,95
CZ1440;2023-10-13;1747,53
CZ1153;2023-09-02;3364,68
CZ1152;2024-01-06;867,17
CZ1441;2023-07-26;2245,03
CZ1265;2024-09-06;3495,23
CZ1067;2023-08-03;1504,3
CZ1109;2024-01-12;1290,24
CZ1372;2024-01-09;2607,3
CZ1226;2024-09-06;2130,35
CZ1034;2024-03-16;2676,65
CZ1239;2024-02-22;1778,19
CZ1093;2023-08-16;1117,94
CZ1166;2023-09-11;1536,4
CZ1304;2023-06-30;3454,81
CZ1474;2023-11-15;1231,48
CZ1426;2024-08-25;1235,75
CZ1191;2023-11-13;3375,4
CZ1376;2024-03-11;3424,47
CZ1023;2024-02-13;2902,8
CZ1217;2023-10-05;3408,86
CZ1486;2024-07-03;3479,14
;2023-01-22;415,52
CZ1079;2023-11-28;729,76
CZ1097;2023-09-07;405,34
CZ1497;2024-06-23;3135,87
CZ1224;2024-04-18;1397,79
CZ1500;2024-01-31;2810,03
CZ1319;2024-08-20;794,11
CZ1007;2024-07-25;951,05
CZ1344;2024-08-10;664,07
CZ1153;2023-03-23;1618,87
CZ1290;2024-01-15;1014,64
CZ1371;2024-03-24;2021,69
CZ1312;2023-09-29;920,35
CZ1469;2023-04-29;2798,28
CZ1473;2024-01-04;1127,75
CZ1189;2023-09-07;2507
CZ1044;2024-04-02;2521,85
CZ1269;2024-07-21;2455,29
CZ1187;2023-12-09;2818,14
CZ1067;2023-06-17;1314,44
CZ1009;2024-02-20;712,25
CZ1286;2023-12-14;3129,65
CZ1249;2024-05-29;1712,29
CZ1136;2023-05-08;3424,39
CZ1431;2023-05-19;801,44
CZ1047;2024-01-27;3219,57
CZ1100;2024-06-18;2678,85
CZ1442;2023-03-06;502,15
;2023-01-04;540,16
CZ1340;2024-08-07;1689,5
CZ1395;2024-06-11;588,61
CZ1261;2024-07-06;2128,54
CZ1105;2023-08-13;2856,9
CZ1208;2023-09-27;1433,31
CZ1382;2023-08-11;850,26
CZ1314;2024-05-10;575,73
CZ1252;2023-11-17;2984,63
CZ1152;2024-01-01;1830,55
CZ1115;2023-09-17;1769,23
CZ1141;2023-11-16;3463,25
CZ1199;2023-04-26;567,53
CZ1103;2024-02-08;571,38
CZ1391;2024-05-09;3036,53
CZ1308;2024-05-11;682,68
CZ1227;2024-05-02;1121,82
CZ1212;2023-06-17;680,39
CZ1383;2023-09-26;2141,99
CZ1445;2024-02-04;2458,02
CZ1242;2024-08-07;760,58
CZ1076;2024-04-01;2181,33
CZ1075;2023-08-07;3283,54
CZ1186;2024-01-13;2563,21
CZ1250;2024-02-25;899,15
CZ1147;2024-08-10;2910,55
CZ1101;2024-04-14;1711,99
CZ1475;2024-05-11;2816,6
CZ1215;2024-06-13;2013,34
CZ1062;2023-04-24;2356,28
CZ1111;2023-06-12;2627,35
CZ1444;2024-05-14;2982,57
CZ1315;2024-03-19;1896,2
CZ1321;2023-10-18;2944,75
CZ1387;2023-12-18;630,27
CZ1419;2023-11-07;2485,68
CZ1305;2023-02-24;1878,72
CZ1203;2023-11-04;2810,7
CZ1168;2023-12-10;2386,71
CZ1475;2023-08-30;2086,95
CZ1034;2024-08-11;1038,96
CZ1019;2023-11-24;3006,6
CZ1317;2024-08-04;901,36
CZ1048;2024-05-05;2301,72
CZ1173;2024-09-21;613
CZ1064;2023-06-20;3103,6
CZ1014;2024-01-26;1973,89
CZ1423;2024-03-21;1660,46
 CZ1074;2023-06-08;693,91
CZ1489;2023-03-06;3280,43
CZ1331;2023-06-22;3106,44
CZ1343;2024-05-03;359,8
CZ1337;2024-08-27;1916
CZ1341;2024-02-27;2496,65
CZ1289;2023-01-04;3357,91
CZ1307;2024-05-18;2196,99
CZ1257;2023-11-25;1465,11
CZ1439;2024-09-26;445,32
